@context,@type,@id,name,brand/@type,brand/name,image,description,mpn,sku,offers/0/@type,offers/0/lowPrice,offers/0/highPrice,offers/0/priceCurrency,offers/0/offers/0/@type,offers/0/offers/0/price,offers/0/offers/0/priceCurrency,offers/0/offers/0/availability,offers/0/offers/0/sku,offers/0/offers/0/itemCondition,offers/0/offers/0/seller/@type,offers/0/offers/0/seller/name,offers/0/offerCount,offers/0/offers/0/priceValidUntil
https://schema.org/,Product,https://www.carrefour.com.br/celular-smartphone-xiaomi-redmi-note-11-4gb-ram-128gb-graphite-gray-mp923835489/p,Celular Smartphone Xiaomi Redmi Note 11 4gb Ram 128gb Graphite Gray,Brand,Xiaomi,https://carrefourbr.vtexassets.com/arquivos/ids/94303244/6bf8404a272549768c5d27edb5fe0392.jpg?v=638086760271300000,"Marca  ‎xiaomi Fabricante  ‎xiaomi Modelo  ‎note 11 Ano  ‎2022 Número Da Peça  ‎note 11 Tipo Do Produto  ‎eletrônicos Ram  ‎4 Capacidade De Armazenamento Da Memória  ‎6 Gb Entradas Para Memória  ‎1 Tamanho Da Memória Externa  ‎128 Tamanho Da Memória Ram Instalada  ‎4 Gb Capacidade De Armazenamento Digital  ‎128 Gb Marca Do Processador  ‎qualcomm Velocidade Do Processador  ‎2.4 Ghz Tecnologia Da Tela  ‎lcd, Amoled Tamanho Da Tela  ‎6.43 Polegadas Tela Ou Mostrador  ‎amoled, Lcd Resolução Do Sensor Óptico  ‎16 Mp Descrição Da Bateria Ou Pilha  ‎polímero De Lítio Baterias Inclusas  ‎sim Funciona Com Baterias  ‎sim Classificação De Potência Da Bateria Ou Pilha  ‎5000 Milliampere Hour (mah) Tecnologia Celular  ‎4g Tecnologia De Conexão  ‎bluetooth, Wi-fi, Usb Entrada De Usuário  ‎tela Sensível Ao Toque Cor  ‎grafite, Cinza Cor Correspondente  ‎grafite, Cinza Conexões  ‎bluetooth Bluetooth Tipo De Conector  ‎usb Tipo C, Jack De 3,5 Mm Resolução Estática Efetiva  ‎10 Peso Do Produto  ‎160 G Número Do Modelo  ‎note 11 Ean  ‎6934177767173 Dimensões Do Produto  ‎16 X 7.39 X 0.81 Cm, 160 G",17921516,316692435,AggregateOffer,1249,1249,BRL,Offer,1249,BRL,http://schema.org/InStock,316692435,http://schema.org/NewCondition,Organization,5FSHOP,1,
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-motorola-moto-g22-128gb-preto-4g-tela-6-5-ips-90hz-camera-quadrupla-50mp-selfie-16mp-dual-chip-android-12-6657893/p,"Smartphone Motorola Moto G22 128GB Preto 4G Tela 6,5&quot; IPS 90Hz Câmera Quadrupla 50MP Selfie 16MP Dual Chip Android 12",Brand,Motorola,https://carrefourbr.vtexassets.com/arquivos/ids/42848803/smartphone-moto-g22-128gb-preto-1.jpg?v=637844171634630000,"Veja essa oferta! Smartphone Motorola Moto G22 128GB Preto 4G Tela 6,5&quot; IPS 90Hz Câmera Quadrupla 50MP Selfie 16MP Dual Chip Android 12 com condições especiais!",18615212,317374327,AggregateOffer,999,1110,BRL,Offer,999,BRL,http://schema.org/InStock,317374327,http://schema.org/NewCondition,Organization,Carrefour,1,2024-03-20T23:53:21Z
https://schema.org/,Product,https://www.carrefour.com.br/iphone-11-64gb-white-tela-6-1-camera-tripla-12mp-selfie-12mp-dualchip-ios13-6682189/p,iPhone 11 64GB White Tela 6.1&quot; Câmera Dupla 12MP Selfie 12MP Dualchip iOS13,Brand,Apple,https://carrefourbr.vtexassets.com/arquivos/ids/105292953/iphone-11-64gb-white-tela-6.jpg?v=638139917230300000,iPhone 11 64GB White Tela 6.1&quot; Câmera Dupla 12MP Selfie 12MP Dualchip iOS13 e muitas outras ofertas e promoções. Confira,19699346,318423013,AggregateOffer,3329.1,3699,BRL,Offer,3329.1,BRL,http://schema.org/InStock,318423013,http://schema.org/NewCondition,Organization,Carrefour,1,2050-01-01T01:59:59Z
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-samsung-galaxy-a13-128gb-preto-4g-tela-6-6-camera-quadrupla-50mp-selfie-8mp-dualchip-android-12-6661181/p,"Smartphone Samsung Galaxy A13 128GB Preto 4G Tela 6,6&quot; Câmera Quádrupla 50MP Selfie 8MP Dualchip Android 12",Brand,Samsung,https://carrefourbr.vtexassets.com/arquivos/ids/43286303/smartphone-samsung-a13-128gb-6-6-pto-sp-1.jpg?v=637847887219830000,"Comprar Smartphone Samsung Galaxy A13 128GB Preto 4G Tela 6,6&quot; Câmera Quádrupla 50MP Selfie 8MP Dualchip Android 12 nunca foi tão fácil! Veja a oferta!",18705083,317464193,AggregateOffer,1299,1443.33,BRL,Offer,1299,BRL,http://schema.org/InStock,317464193,http://schema.org/NewCondition,Organization,Carrefour,1,2023-04-04T02:59:59Z
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-xiaomi-redmi-note-11-dual-128gb-6gb-ram-graphite-graycinza-global-mp923953317/p,Smartphone Xiaomi Redmi Note 11 Dual 128gb 6gb Ram - Graphite Gray/cinza - Global,Brand,Xiaomi,https://carrefourbr.vtexassets.com/arquivos/ids/106818887/d877c9ebb2734e869633a6d837a4640e.jpg?v=638146715127500000,"O Redmi Note 11 É Um Smartphone Android Avançado E Abrangente Em Todos Os Pontos De Vista Com Algumas Características Excelentes. Tem Uma Grande Tela De 6.43 Polegadas Com Uma Resolução De 2400x1080 Pixels. As Funcionalidades Oferecidas Pelo Redmi Note 11 São Muitas E Inovadoras. Começando Pelo Lte 4g Que Permite A Transferência De Dados E Excelente Navegação Na Internet. Enfatizamos A Excelente Memória Interna De 128 Gb Com A Possibilidade De Expansão. O Redmi Note 11 É Um Produto Com Poucos Concorrentes Em Termos De Multimídia Graças À Câmera De 50 Megapixels Que Permite Ao Redmi Note 11 Tirar Fotos Fantásticas Com Uma Resolução De 8165x6124 Pixels E Gravar Vídeos Em Alta Definição (full Hd) Com Uma Resolução De 1920x1080 Pixels. Muito Fino, 8.1 Milímetros, O Que Torna O Redmi Note 11 Realmente Interessante.&lt;br /&gt;O termo &quot;Global&quot; se refere aos idiomas disponíveis, que inclui o Português BR como opção, e não está relacionado ao país de fabricação do produto.&lt;br /&gt;",18043735,316807563,AggregateOffer,1343,1343,BRL,Offer,1343,BRL,http://schema.org/InStock,316807563,http://schema.org/NewCondition,Organization,JWS ELETRONICOS,1,
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-motorola-moto-g22-128gb-azul-4g-tela-6-5-ips-90hz-camera-quadrupla-50mp-selfie-16mp-dual-chip-android-12-6657907/p,"Smartphone Motorola Moto G22 128GB Azul 4G Tela 6,5&quot; IPS 90Hz Câmera Quadrupla 50MP Selfie 16MP Dual Chip Android 12",Brand,Motorola,https://carrefourbr.vtexassets.com/arquivos/ids/43998174/smartphone-motorola-moto-g22-128gb-azul-4g-tela-65--ips-90hz-camera-quadrupla-50mp-selfie-16mp-dual-chip-android-12-1.jpg?v=637849608520500000,"Smartphone Motorola Moto G22 128GB Azul 4G Tela 6,5&quot; IPS 90Hz Câmera Quadrupla 50MP Selfie 16MP Dual Chip Android 12? O Carrefour tem a oferta que você procura!",18615213,317374328,AggregateOffer,999,1110,BRL,Offer,999,BRL,http://schema.org/InStock,317374328,http://schema.org/NewCondition,Organization,Carrefour,1,2024-03-21T00:09:23Z
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-motorola-moto-g52-128gb-preto-4g-tela-6-6-amoled-90hz-camera-tripla-50mp-selfie-16mp-android-6682448/p,"Smartphone Motorola Moto G52 128GB Preto 4G Tela 6,6&quot; AMOLED 90Hz Câmera Tripla 50MP Selfie 16MP Android",Brand,Motorola,https://carrefourbr.vtexassets.com/arquivos/ids/51015254/smartphone-moto-g52-6-6-128gb-preto-1.jpg?v=637877846748830000,"Veja essa oferta! Smartphone Motorola Moto G52 128GB Preto 4G Tela 6,6&quot; AMOLED 90Hz Câmera Tripla 50MP Selfie 16MP Android com condições especiais!",19699353,318423018,AggregateOffer,1250.1,1389,BRL,Offer,1250.1,BRL,http://schema.org/InStock,318423018,http://schema.org/NewCondition,Organization,Carrefour,1,2050-01-01T01:59:59Z
https://schema.org/,Product,https://www.carrefour.com.br/vitrine-iphone-11-apple-64gb-roxo-tela-61-camera-traseira-12mp-ios-mp924528715/p,"Vitrine: Iphone 11 Apple 64gb Roxo Tela 6,1 Câmera Traseira 12mp Ios",Brand,Apple,https://carrefourbr.vtexassets.com/arquivos/ids/94712018/e94efcb349384be586a8a19422588e66.jpg?v=638088949482800000,"&amp;lt,p&amp;gt,produto Importado. Sim&amp;lt,br /&amp;gt,garantia. 90 Dias&amp;lt,br /&amp;gt,garantia Com O Fabricante: Não - O Vendedor É Responsável Pela Garantia Deste Produto&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,condição Do Celular&amp;lt,br /&amp;gt,produto De Mostruário Em Ótimo Estado De Conservação. Pode Conter Detalhes De Uso, Devido A Sua Exposição Na Loja. A Tela Do Aparelho Está Em Perfeito Estado E O Aparelho Está Com 100% Das Suas Funcionalidades.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,tela&amp;lt,br /&amp;gt,pode Apresentar Algum Risco Muito Pequeno, Quase Imperceptível.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,lateral&amp;lt,br /&amp;gt,pode Apresentar Algum Arranhão Leve, Porém Quase Imperceptível.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,traseira&amp;lt,br /&amp;gt,pode Apresentar Pequeno Desgaste, Como Leve Arranhão, No Entanto Não É Perceptível.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,bateria&amp;lt,br /&amp;gt,somente São Colocados À Venda Aparelhos Cuja Saúde Da Bateria Esteja Entre 80 E 100% De Bateria.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,aparelho Desbloqueado Para Todas As Operadoras&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,resetado Padrão De Fábrica - Sim&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,conteúdo Da Embalagem:&amp;lt,br /&amp;gt,1 Celular&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,não Acompanha Acessórios.&amp;lt,/p&amp;gt, &amp;lt,p&amp;gt,não Enviamos Na Caixa Original.&amp;lt,/p&amp;gt,",18620539,317379659,AggregateOffer,2754.05,2899,BRL,Offer,2754.05,BRL,http://schema.org/InStock,317379659,http://schema.org/NewCondition,Organization,PagDepois,1,
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-samsung-galaxy-m53-128gb-azul-5g-tela-6-7-super-amoled-120hz-camera-quadrupla-108mp-4k-selfie-32mp-5366330/p,"Smartphone Samsung Galaxy M53 128GB Azul 5G Tela 6,7&quot; Super AMOLED 120Hz Câmera Quadrupla 108MP 4K Selfie 32MP",Brand,Samsung,https://carrefourbr.vtexassets.com/arquivos/ids/72881694/smartphone-samsung-galaxy-m53-5g-128gb-azul-5g-6.jpg?v=637980744509370000,"Compre Smartphone Samsung Galaxy M53 128GB Azul 5G Tela 6,7&quot; Super AMOLED 120Hz Câmera Quadrupla 108MP 4K Selfie 32MP no Carrefour! Confira nossas ofertas!",23113762,321832998,AggregateOffer,1999,2221.11,BRL,Offer,1999,BRL,http://schema.org/InStock,321832998,http://schema.org/NewCondition,Organization,Carrefour,1,2023-04-04T02:59:59Z
https://schema.org/,Product,https://www.carrefour.com.br/smartphone-samsung-galaxy-s20-fe-5g-dual-chip-camera-tripla-traseira-12mp-tela-6-5-polegadas-azul-6678556/p,Smartphone Samsung Galaxy S20 FE 5G Dual Chip Câmera Tripla Traseira 12MP Tela 6.5&quot;Azul,Brand,Samsung,https://carrefourbr.vtexassets.com/arquivos/ids/51838424/smartphone-samsung-s20-fe-5g-azul-sp-1.jpg?v=637880516429170000,Compre Smartphone Samsung Galaxy S20 FE 5G Dual Chip Câmera Tripla Traseira 12MP Tela 6.5&quot;Azul no Carrefour! Confira nossas ofertas!,19699307,318422991,AggregateOffer,2349,2610,BRL,Offer,2349,BRL,http://schema.org/InStock,318422991,http://schema.org/NewCondition,Organization,Carrefour,1,2023-04-04T02:59:59Z
